puntos=18
1,0.004
3,0.012
4,0.015
7,0.029
8,0.032
9.5,0.39
16,0.064
32,0.128
40,0.162
48,0.194
50,0.201
56,0.227
64,0.256
69,0.280
72,0.289
80,0.321
88,0.353
92,0.369
