2018-10-01,21:13:24,3.5,16.63,-94.11,115.0,"42 km al OESTE de CINTALAPA, CHIS",2018-10-02,02:13:24,verificado
2018-10-01,21:31:45,3.5,16.33,-95.19,10.0,"4 km al ESTE de S BLAS ATEMPA, OAX",2018-10-02,02:31:45,verificado
2018-10-01,21:56:12,3.9,15.29,-94.84,16.0,"106 km al SURESTE de SALINA CRUZ, OAX",2018-10-02,02:56:12,verificado
2018-10-01,23:08:57,3.7,17.11,-95.16,57.0,"29 km al NOROESTE de MATIAS ROMERO, OAX",2018-10-02,04:08:57,verificado
2018-10-01,23:29:49,3.8,15.07,-94.46,40.0,"135 km al SUROESTE de TONALA, CHIS",2018-10-02,04:29:49,verificado
2018-10-01,23:39:05,3.6,14.77,-92.52,101.0,"32 km al SUROESTE de TAPACHULA, CHIS",2018-10-02,04:39:05,verificado
2018-10-02,00:40:18,4.0,15.52,-94.8,17.0,"85 km al SURESTE de SALINA CRUZ, OAX",2018-10-02,05:40:18,verificado
2018-10-02,00:42:20,3.6,16.65,-94.17,122.0,"48 km al OESTE de CINTALAPA, CHIS",2018-10-02,05:42:20,verificado
2018-10-02,01:08:58,3.7,18.25,-98.7,32.0,"11 km al SUROESTE de CHIAUTLA DE TAPIA, PUE",2018-10-02,06:08:58,verificado
2018-10-02,01:56:28,4.0,16.99,-99.95,22.0,"14 km al ESTE de COYUCA DE BENITEZ, GRO",2018-10-02,06:56:28,verificado
2018-10-02,02:36:11,3.6,16.48,-98.4,27.0,"22 km al SUR de OMETEPEC, GRO",2018-10-02,07:36:11,verificado
2018-10-02,02:47:18,3.7,16.75,-96.3,45.0,"29 km al SURESTE de TLACOLULA, OAX",2018-10-02,07:47:18,verificado
2018-10-02,02:49:28,3.4,19.02,-104.93,17.0,"46 km al SUROESTE de CIHUATLAN, JAL",2018-10-02,07:49:28,verificado
2018-10-02,03:00:46,4.0,18.3,-101.26,59.0,"52 km al SUROESTE de HUETAMO, MICH",2018-10-02,08:00:46,verificado
2018-10-02,03:50:15,3.8,16.98,-95.09,121.0,"13 km al NOROESTE de MATIAS ROMERO, OAX",2018-10-02,08:50:15,verificado
2018-10-02,04:35:19,3.6,16.23,-98.21,17.0,"20 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-10-02,09:35:19,verificado
2018-10-02,04:50:06,4.0,18.2,-102.45,58.0,"22 km al NOROESTE de LA MIRA, MICH",2018-10-02,09:50:06,verificado
2018-10-02,05:32:22,4.1,15.44,-94.85,26.0,"90 km al SURESTE de SALINA CRUZ, OAX",2018-10-02,10:32:22,verificado
2018-10-02,06:06:52,4.0,15.44,-94.88,26.0,"89 km al SURESTE de SALINA CRUZ, OAX",2018-10-02,11:06:52,verificado
